"","year","age","category","count"
"1",2001,"5 and younger","Aged",0
"2",2001,"6-14","Aged",0
"3",2001,"15-20","Aged",0
"4",2001,"21-44","Aged",0
"5",2001,"45-64","Aged",0
"6",2001,"65-74","Aged",12548
"7",2001,"75-84","Aged",12962
"8",2001,"85 and older","Aged",10335
"9",2001,"Unknown","Aged",0
"10",2001,"5 and younger","Disabled",1586
"11",2001,"6-14","Disabled",3405
"12",2001,"15-20","Disabled",2620
"13",2001,"21-44","Disabled",17094
"14",2001,"45-64","Disabled",19662
"15",2001,"65-74","Disabled",693
"16",2001,"75-84","Disabled",22
"17",2001,"85 and older","Disabled",10
"18",2001,"Unknown","Disabled",0
"19",2001,"5 and younger","Adults",0
"20",2001,"6-14","Adults",0
"21",2001,"15-20","Adults",10854
"22",2001,"21-44","Adults",47803
"23",2001,"45-64","Adults",2594
"24",2001,"65-74","Adults",7
"25",2001,"75-84","Adults",2
"26",2001,"85 and older","Adults",1
"27",2001,"Unknown","Adults",0
"28",2001,"5 and younger","Children",80083
"29",2001,"6-14","Children",63024
"30",2001,"15-20","Children",18692
"31",2001,"21-44","Children",55
"32",2001,"45-64","Children",0
"33",2001,"65-74","Children",0
"34",2001,"75-84","Children",0
"35",2001,"85 and older","Children",0
"36",2001,"Unknown","Children",2
"37",2001,"5 and younger","Other/ Unknown",6
"38",2001,"6-14","Other/ Unknown",11
"39",2001,"15-20","Other/ Unknown",5
"40",2001,"21-44","Other/ Unknown",74
"41",2001,"45-64","Other/ Unknown",9
"42",2001,"65-74","Other/ Unknown",9
"43",2001,"75-84","Other/ Unknown",1
"44",2001,"85 and older","Other/ Unknown",1
"45",2001,"Unknown","Other/ Unknown",0
"46",2002,"5 and younger","Aged",0
"47",2002,"6-14","Aged",0
"48",2002,"15-20","Aged",0
"49",2002,"21-44","Aged",0
"50",2002,"45-64","Aged",1
"51",2002,"65-74","Aged",12452
"52",2002,"75-84","Aged",13182
"53",2002,"85 and older","Aged",10189
"54",2002,"Unknown","Aged",1
"55",2002,"5 and younger","Disabled",1567
"56",2002,"6-14","Disabled",3103
"57",2002,"15-20","Disabled",2656
"58",2002,"21-44","Disabled",16242
"59",2002,"45-64","Disabled",19959
"60",2002,"65-74","Disabled",700
"61",2002,"75-84","Disabled",27
"62",2002,"85 and older","Disabled",7
"63",2002,"Unknown","Disabled",0
"64",2002,"5 and younger","Adults",0
"65",2002,"6-14","Adults",0
"66",2002,"15-20","Adults",11805
"67",2002,"21-44","Adults",52784
"68",2002,"45-64","Adults",2621
"69",2002,"65-74","Adults",6
"70",2002,"75-84","Adults",0
"71",2002,"85 and older","Adults",0
"72",2002,"Unknown","Adults",0
"73",2002,"5 and younger","Children",88484
"74",2002,"6-14","Children",64080
"75",2002,"15-20","Children",19710
"76",2002,"21-44","Children",52
"77",2002,"45-64","Children",1
"78",2002,"65-74","Children",0
"79",2002,"75-84","Children",0
"80",2002,"85 and older","Children",0
"81",2002,"Unknown","Children",2
"82",2002,"5 and younger","Other/ Unknown",0
"83",2002,"6-14","Other/ Unknown",0
"84",2002,"15-20","Other/ Unknown",0
"85",2002,"21-44","Other/ Unknown",13
"86",2002,"45-64","Other/ Unknown",43
"87",2002,"65-74","Other/ Unknown",0
"88",2002,"75-84","Other/ Unknown",0
"89",2002,"85 and older","Other/ Unknown",0
"90",2002,"Unknown","Other/ Unknown",0
"91",2003,"5 and younger","Aged",0
"92",2003,"6-14","Aged",0
"93",2003,"15-20","Aged",0
"94",2003,"21-44","Aged",27
"95",2003,"45-64","Aged",117
"96",2003,"65-74","Aged",12996
"97",2003,"75-84","Aged",13411
"98",2003,"85 and older","Aged",10023
"99",2003,"Unknown","Aged",1
"100",2003,"5 and younger","Disabled",1629
"101",2003,"6-14","Disabled",3247
"102",2003,"15-20","Disabled",2884
"103",2003,"21-44","Disabled",16863
"104",2003,"45-64","Disabled",21159
"105",2003,"65-74","Disabled",762
"106",2003,"75-84","Disabled",30
"107",2003,"85 and older","Disabled",5
"108",2003,"Unknown","Disabled",0
"109",2003,"5 and younger","Adults",0
"110",2003,"6-14","Adults",0
"111",2003,"15-20","Adults",13566
"112",2003,"21-44","Adults",64573
"113",2003,"45-64","Adults",3696
"114",2003,"65-74","Adults",9
"115",2003,"75-84","Adults",0
"116",2003,"85 and older","Adults",1
"117",2003,"Unknown","Adults",0
"118",2003,"5 and younger","Children",107219
"119",2003,"6-14","Children",77311
"120",2003,"15-20","Children",23394
"121",2003,"21-44","Children",55
"122",2003,"45-64","Children",0
"123",2003,"65-74","Children",0
"124",2003,"75-84","Children",0
"125",2003,"85 and older","Children",0
"126",2003,"Unknown","Children",0
"127",2003,"5 and younger","Other/ Unknown",0
"128",2003,"6-14","Other/ Unknown",0
"129",2003,"15-20","Other/ Unknown",0
"130",2003,"21-44","Other/ Unknown",0
"131",2003,"45-64","Other/ Unknown",0
"132",2003,"65-74","Other/ Unknown",0
"133",2003,"75-84","Other/ Unknown",0
"134",2003,"85 and older","Other/ Unknown",0
"135",2003,"Unknown","Other/ Unknown",0
"136",2004,"5 and younger","Aged",0
"137",2004,"6-14","Aged",0
"138",2004,"15-20","Aged",0
"139",2004,"21-44","Aged",0
"140",2004,"45-64","Aged",0
"141",2004,"65-74","Aged",14588
"142",2004,"75-84","Aged",14075
"143",2004,"85 and older","Aged",10409
"144",2004,"Unknown","Aged",3
"145",2004,"5 and younger","Disabled",2538
"146",2004,"6-14","Disabled",5066
"147",2004,"15-20","Disabled",3942
"148",2004,"21-44","Disabled",20391
"149",2004,"45-64","Disabled",25279
"150",2004,"65-74","Disabled",483
"151",2004,"75-84","Disabled",7
"152",2004,"85 and older","Disabled",3
"153",2004,"Unknown","Disabled",2
"154",2004,"5 and younger","Adults",0
"155",2004,"6-14","Adults",0
"156",2004,"15-20","Adults",5566
"157",2004,"21-44","Adults",76242
"158",2004,"45-64","Adults",5725
"159",2004,"65-74","Adults",92
"160",2004,"75-84","Adults",22
"161",2004,"85 and older","Adults",12
"162",2004,"Unknown","Adults",50
"163",2004,"5 and younger","Children",131639
"164",2004,"6-14","Children",95383
"165",2004,"15-20","Children",38189
"166",2004,"21-44","Children",380
"167",2004,"45-64","Children",0
"168",2004,"65-74","Children",0
"169",2004,"75-84","Children",0
"170",2004,"85 and older","Children",2
"171",2004,"Unknown","Children",203
"172",2004,"5 and younger","Other/ Unknown",0
"173",2004,"6-14","Other/ Unknown",0
"174",2004,"15-20","Other/ Unknown",0
"175",2004,"21-44","Other/ Unknown",14
"176",2004,"45-64","Other/ Unknown",142
"177",2004,"65-74","Other/ Unknown",3
"178",2004,"75-84","Other/ Unknown",0
"179",2004,"85 and older","Other/ Unknown",1
"180",2004,"Unknown","Other/ Unknown",0
"181",2005,"5 and younger","Aged",0
"182",2005,"6-14","Aged",0
"183",2005,"15-20","Aged",0
"184",2005,"21-44","Aged",0
"185",2005,"45-64","Aged",0
"186",2005,"65-74","Aged",14743
"187",2005,"75-84","Aged",14219
"188",2005,"85 and older","Aged",10709
"189",2005,"Unknown","Aged",3
"190",2005,"5 and younger","Disabled",2579
"191",2005,"6-14","Disabled",5195
"192",2005,"15-20","Disabled",4424
"193",2005,"21-44","Disabled",21604
"194",2005,"45-64","Disabled",26704
"195",2005,"65-74","Disabled",551
"196",2005,"75-84","Disabled",131
"197",2005,"85 and older","Disabled",24
"198",2005,"Unknown","Disabled",0
"199",2005,"5 and younger","Adults",1
"200",2005,"6-14","Adults",1
"201",2005,"15-20","Adults",0
"202",2005,"21-44","Adults",78490
"203",2005,"45-64","Adults",6736
"204",2005,"65-74","Adults",56
"205",2005,"75-84","Adults",14
"206",2005,"85 and older","Adults",10
"207",2005,"Unknown","Adults",29
"208",2005,"5 and younger","Children",143956
"209",2005,"6-14","Children",107931
"210",2005,"15-20","Children",47086
"211",2005,"21-44","Children",1121
"212",2005,"45-64","Children",0
"213",2005,"65-74","Children",0
"214",2005,"75-84","Children",0
"215",2005,"85 and older","Children",0
"216",2005,"Unknown","Children",42
"217",2005,"5 and younger","Other/ Unknown",0
"218",2005,"6-14","Other/ Unknown",0
"219",2005,"15-20","Other/ Unknown",0
"220",2005,"21-44","Other/ Unknown",23
"221",2005,"45-64","Other/ Unknown",180
"222",2005,"65-74","Other/ Unknown",4
"223",2005,"75-84","Other/ Unknown",0
"224",2005,"85 and older","Other/ Unknown",0
"225",2005,"Unknown","Other/ Unknown",0
"226",2006,"5 and younger","Aged",0
"227",2006,"6-14","Aged",0
"228",2006,"15-20","Aged",0
"229",2006,"21-44","Aged",0
"230",2006,"45-64","Aged",0
"231",2006,"65-74","Aged",15818
"232",2006,"75-84","Aged",14619
"233",2006,"85 and older","Aged",11091
"234",2006,"Unknown","Aged",0
"235",2006,"5 and younger","Disabled",2696
"236",2006,"6-14","Disabled",5812
"237",2006,"15-20","Disabled",4875
"238",2006,"21-44","Disabled",22340
"239",2006,"45-64","Disabled",29331
"240",2006,"65-74","Disabled",546
"241",2006,"75-84","Disabled",100
"242",2006,"85 and older","Disabled",14
"243",2006,"Unknown","Disabled",0
"244",2006,"5 and younger","Adults",0
"245",2006,"6-14","Adults",1
"246",2006,"15-20","Adults",1
"247",2006,"21-44","Adults",84262
"248",2006,"45-64","Adults",7817
"249",2006,"65-74","Adults",34
"250",2006,"75-84","Adults",8
"251",2006,"85 and older","Adults",2
"252",2006,"Unknown","Adults",14
"253",2006,"5 and younger","Children",150723
"254",2006,"6-14","Children",118237
"255",2006,"15-20","Children",51362
"256",2006,"21-44","Children",1210
"257",2006,"45-64","Children",2
"258",2006,"65-74","Children",0
"259",2006,"75-84","Children",0
"260",2006,"85 and older","Children",0
"261",2006,"Unknown","Children",7
"262",2006,"5 and younger","Other/ Unknown",0
"263",2006,"6-14","Other/ Unknown",0
"264",2006,"15-20","Other/ Unknown",0
"265",2006,"21-44","Other/ Unknown",26
"266",2006,"45-64","Other/ Unknown",234
"267",2006,"65-74","Other/ Unknown",7
"268",2006,"75-84","Other/ Unknown",0
"269",2006,"85 and older","Other/ Unknown",0
"270",2006,"Unknown","Other/ Unknown",0
"271",2007,"5 and younger","Aged",0
"272",2007,"6-14","Aged",0
"273",2007,"15-20","Aged",0
"274",2007,"21-44","Aged",0
"275",2007,"45-64","Aged",0
"276",2007,"65-74","Aged",16491
"277",2007,"75-84","Aged",14824
"278",2007,"85 and older","Aged",11230
"279",2007,"Unknown","Aged",1
"280",2007,"5 and younger","Disabled",2931
"281",2007,"6-14","Disabled",6464
"282",2007,"15-20","Disabled",5587
"283",2007,"21-44","Disabled",26451
"284",2007,"45-64","Disabled",31966
"285",2007,"65-74","Disabled",668
"286",2007,"75-84","Disabled",125
"287",2007,"85 and older","Disabled",25
"288",2007,"Unknown","Disabled",1
"289",2007,"5 and younger","Adults",1
"290",2007,"6-14","Adults",1
"291",2007,"15-20","Adults",1
"292",2007,"21-44","Adults",76336
"293",2007,"45-64","Adults",7005
"294",2007,"65-74","Adults",28
"295",2007,"75-84","Adults",6
"296",2007,"85 and older","Adults",2
"297",2007,"Unknown","Adults",1
"298",2007,"5 and younger","Children",146763
"299",2007,"6-14","Children",113546
"300",2007,"15-20","Children",48961
"301",2007,"21-44","Children",1213
"302",2007,"45-64","Children",1
"303",2007,"65-74","Children",0
"304",2007,"75-84","Children",0
"305",2007,"85 and older","Children",0
"306",2007,"Unknown","Children",3
"307",2007,"5 and younger","Other/ Unknown",0
"308",2007,"6-14","Other/ Unknown",0
"309",2007,"15-20","Other/ Unknown",0
"310",2007,"21-44","Other/ Unknown",36
"311",2007,"45-64","Other/ Unknown",246
"312",2007,"65-74","Other/ Unknown",6
"313",2007,"75-84","Other/ Unknown",0
"314",2007,"85 and older","Other/ Unknown",0
"315",2007,"Unknown","Other/ Unknown",0
"316",2008,"5 and younger","Aged",0
"317",2008,"6-14","Aged",0
"318",2008,"15-20","Aged",0
"319",2008,"21-44","Aged",0
"320",2008,"45-64","Aged",0
"321",2008,"65-74","Aged",17218
"322",2008,"75-84","Aged",14791
"323",2008,"85 and older","Aged",11443
"324",2008,"Unknown","Aged",1
"325",2008,"5 and younger","Disabled",3160
"326",2008,"6-14","Disabled",6936
"327",2008,"15-20","Disabled",5688
"328",2008,"21-44","Disabled",27521
"329",2008,"45-64","Disabled",34360
"330",2008,"65-74","Disabled",691
"331",2008,"75-84","Disabled",157
"332",2008,"85 and older","Disabled",35
"333",2008,"Unknown","Disabled",0
"334",2008,"5 and younger","Adults",0
"335",2008,"6-14","Adults",0
"336",2008,"15-20","Adults",0
"337",2008,"21-44","Adults",78010
"338",2008,"45-64","Adults",7080
"339",2008,"65-74","Adults",38
"340",2008,"75-84","Adults",3
"341",2008,"85 and older","Adults",2
"342",2008,"Unknown","Adults",1
"343",2008,"5 and younger","Children",151244
"344",2008,"6-14","Children",120093
"345",2008,"15-20","Children",49422
"346",2008,"21-44","Children",1258
"347",2008,"45-64","Children",0
"348",2008,"65-74","Children",0
"349",2008,"75-84","Children",0
"350",2008,"85 and older","Children",1
"351",2008,"Unknown","Children",2
"352",2008,"5 and younger","Other/ Unknown",0
"353",2008,"6-14","Other/ Unknown",0
"354",2008,"15-20","Other/ Unknown",0
"355",2008,"21-44","Other/ Unknown",36
"356",2008,"45-64","Other/ Unknown",269
"357",2008,"65-74","Other/ Unknown",5
"358",2008,"75-84","Other/ Unknown",0
"359",2008,"85 and older","Other/ Unknown",0
"360",2008,"Unknown","Other/ Unknown",0
"361",2009,"5 and younger","Aged",0
"362",2009,"6-14","Aged",0
"363",2009,"15-20","Aged",0
"364",2009,"21-44","Aged",0
"365",2009,"45-64","Aged",0
"366",2009,"65-74","Aged",17772
"367",2009,"75-84","Aged",15084
"368",2009,"85 and older","Aged",11415
"369",2009,"Unknown","Aged",1
"370",2009,"5 and younger","Disabled",3169
"371",2009,"6-14","Disabled",7394
"372",2009,"15-20","Disabled",5688
"373",2009,"21-44","Disabled",28528
"374",2009,"45-64","Disabled",36063
"375",2009,"65-74","Disabled",752
"376",2009,"75-84","Disabled",156
"377",2009,"85 and older","Disabled",46
"378",2009,"Unknown","Disabled",0
"379",2009,"5 and younger","Adults",0
"380",2009,"6-14","Adults",0
"381",2009,"15-20","Adults",1
"382",2009,"21-44","Adults",91799
"383",2009,"45-64","Adults",9028
"384",2009,"65-74","Adults",56
"385",2009,"75-84","Adults",3
"386",2009,"85 and older","Adults",2
"387",2009,"Unknown","Adults",2
"388",2009,"5 and younger","Children",164662
"389",2009,"6-14","Children",142503
"390",2009,"15-20","Children",56670
"391",2009,"21-44","Children",1396
"392",2009,"45-64","Children",2
"393",2009,"65-74","Children",0
"394",2009,"75-84","Children",0
"395",2009,"85 and older","Children",0
"396",2009,"Unknown","Children",4
"397",2009,"5 and younger","Other/ Unknown",0
"398",2009,"6-14","Other/ Unknown",0
"399",2009,"15-20","Other/ Unknown",0
"400",2009,"21-44","Other/ Unknown",44
"401",2009,"45-64","Other/ Unknown",339
"402",2009,"65-74","Other/ Unknown",5
"403",2009,"75-84","Other/ Unknown",0
"404",2009,"85 and older","Other/ Unknown",0
"405",2009,"Unknown","Other/ Unknown",0
